dma_1_lps,dma_2_lps,dma_3_lps,dma_4_lps,dma_5_lps,dma_6_lps,dma_7_lps,dma_8_lps,dma_9_lps,dma_10_lps,timestamp,rainfall_mm,temperature_c,humidity_pct,windspeed_kmh,total_demand_lps
5.445,9.17,4.5825,37.595,81.445,9.33499999999999,22.295,18.2525,22.6375,21.575,2021-01-01 17:00:00,0.0,10.2,85.0,7.0,232.33249999999992
5.855,9.175,4.574999999999999,39.185,80.6575,9.33499999999999,23.875,18.54,22.6375,22.4825,2021-01-01 18:00:00,0.0,10.8,81.0,8.0,236.31749999999994
5.835,9.6975,4.5675,40.9025,83.845,9.33499999999999,23.7475,19.6575,22.6375,23.43,2021-01-01 19:00:00,0.0,10.6,75.0,12.0,243.65499999999997
5.8275,9.8475,4.8075,38.76,85.875,9.33499999999999,25.025,19.485,22.6375,24.1575,2021-01-01 20:00:00,0.4,9.7,85.0,10.0,245.75749999999996
5.805,9.3025,4.455,34.6325,79.6825,9.33499999999999,22.545,17.9575,22.6375,22.2275,2021-01-01 21:00:00,0.1,9.7,84.0,8.0,228.57999999999998
4.8125,8.9275,3.76,32.56,73.1725,9.33499999999999,19.365,15.375,22.6375,19.9825,2021-01-01 22:00:00,0.0,10.5,77.0,8.0,209.9275
4.405,8.555,3.4675,31.7425,68.365,9.33499999999999,18.8325,14.7175,22.6375,19.5325,2021-01-01 23:00:00,0.0,10.6,80.0,14.0,201.58999999999997
3.3575,8.1625,3.175,30.05,63.15,9.33499999999999,16.8325,13.6825,22.6375,18.855,2021-01-02 00:00:00,0.0,10.7,79.0,12.0,189.23749999999998
2.38,7.865,2.9225,27.2425,58.53,9.33499999999999,15.425,11.685,22.6375,20.335,2021-01-02 01:00:00,0.0,10.8,79.0,10.0,178.3575
3.2425,7.755,2.79,27.0825,54.745,9.33499999999999,13.0125,11.1475,22.6375,18.75,2021-01-02 02:00:00,0.0,10.8,78.0,10.0,170.4975
3.14,7.655,2.6025,26.685,54.3475,9.33499999999999,12.5525,10.8325,22.6375,18.0825,2021-01-02 03:00:00,0.0,11.1,73.0,15.0,167.86999999999998
2.7875,7.7375,2.6175,26.0775,54.2425,9.33499999999999,11.945,10.6225,22.6375,18.7525,2021-01-02 04:00:00,0.2,10.2,78.0,15.0,166.755
3.8025,7.8575,2.7475,23.65,55.1225,9.33499999999999,12.6975,11.2075,22.6375,19.4775,2021-01-02 05:00:00,0.0,10.3,77.0,14.0,168.535
4.575,8.135,2.9,25.2725,59.1625,9.33499999999999,13.7325,12.71,22.6375,20.885,2021-01-02 06:00:00,0.0,10.5,73.0,18.0,179.34499999999997
5.8375,8.8925,3.57,31.1625,67.1075,9.33499999999999,17.44,14.7325,22.6375,21.835,2021-01-02 07:00:00,0.0,10.6,73.0,18.0,202.54999999999998
6.6925,9.9925,4.3175,40.855,81.1625,9.33499999999999,21.3675,19.65,22.6375,23.765,2021-01-02 08:00:00,0.0,9.9,74.0,26.0,239.77499999999998
7.8775,11.075,5.1525,46.795,95.9675,9.33499999999999,29.32,24.2375,22.6375,25.62,2021-01-02 09:00:00,0.0,10.5,74.0,24.0,278.0175
8.08,11.1525,6.12,49.23,105.055,9.33499999999999,32.0225,25.02,22.6375,26.91,2021-01-02 10:00:00,0.0,10.8,70.0,27.0,295.5625
7.605,10.99,5.7675,46.9025,103.48,9.33499999999999,31.2375,24.5775,22.6375,27.68,2021-01-02 11:00:00,0.0,11.1,67.0,23.0,290.2125
7.0475,10.7975,5.85,44.575,101.1525,9.33499999999999,31.2725,25.1625,22.6375,26.5625,2021-01-02 12:00:00,0.0,11.6,70.0,25.0,284.3925
6.74,10.5275,5.25,44.165,97.185,9.33499999999999,28.965,23.4025,22.6375,25.9,2021-01-02 13:00:00,0.1,10.6,75.0,26.0,274.10749999999996
6.4,10.105,4.78,42.455,89.355,9.33499999999999,25.3175,20.635,22.6375,23.3325,2021-01-02 14:00:00,0.1,9.8,75.0,28.0,254.35249999999996
5.8125,9.6725,4.5225,40.145,83.8125,9.33499999999999,23.9025,19.65,22.6375,23.8925,2021-01-02 15:00:00,1.2,9.2,81.0,31.0,243.3825
5.0825,9.83,4.4925,41.2875,83.0075,9.33499999999999,22.955,18.9525,22.6375,23.6475,2021-01-02 16:00:00,1.7,10.7,78.0,17.0,241.22749999999994
4.97,9.3525,4.58,36.73,82.105,9.33499999999999,24.8475,19.375,22.6375,23.33,2021-01-02 17:00:00,3.0,9.7,81.0,14.0,237.2625
4.51,9.3675,4.4325,38.79,83.91,9.33499999999999,23.11,19.6275,22.6375,23.0125,2021-01-02 18:00:00,4.1,9.9,82.0,21.0,238.73249999999996
5.88,9.9675,4.6275,37.0875,86.1475,9.33499999999999,24.765,19.975,22.6375,23.1325,2021-01-02 19:00:00,3.6,9.2,84.0,23.0,243.55499999999992
6.19,9.875,4.77,38.54,86.615,9.33499999999999,25.0875,20.4375,22.6375,23.13,2021-01-02 20:00:00,3.9,9.8,79.0,21.0,246.61749999999998
5.535,9.1075,4.2275,33.1,80.58,9.33499999999999,22.4225,18.8,22.6375,22.715,2021-01-02 21:00:00,0.0,10.1,77.0,15.0,228.46
5.01,9.1175,3.84,35.535,72.935,9.33499999999999,20.26,15.5,22.6375,22.1775,2021-01-02 22:00:00,0.2,10.2,76.0,22.0,216.34749999999997
4.505,8.725,3.895,34.1775,69.5075,9.33499999999999,18.675,15.0175,22.6375,21.3075,2021-01-02 23:00:00,0.0,9.9,73.0,17.0,207.7825
4.145,8.155,3.3125,31.625,63.9225,9.33499999999999,16.605,12.86,22.6375,20.6025,2021-01-03 00:00:00,0.5,9.7,78.0,15.0,193.19999999999996
3.7525,7.93,2.9125,28.6725,57.7125,9.33499999999999,13.8325,12.58,22.6375,19.1725,2021-01-03 01:00:00,0.0,9.4,76.0,17.0,178.53749999999997
3.6875,7.7525,2.8,23.0075,55.47,9.33499999999999,12.7975,11.235,22.6375,19.7875,2021-01-03 02:00:00,0.0,9.6,74.0,17.0,168.51
3.57,7.635,2.68,23.4575,53.8275,9.33499999999999,12.3425,10.9475,22.6375,18.6975,2021-01-03 03:00:00,0.0,10.0,74.0,12.0,165.13
3.5925,7.595,2.5775,22.14,53.9725,9.33499999999999,12.165,10.7075,22.6375,19.1175,2021-01-03 04:00:00,0.0,10.0,75.0,10.0,163.84
3.705,7.7875,2.6825,28.6575,55.76,9.33499999999999,12.2625,11.0675,22.6375,19.275,2021-01-03 05:00:00,0.0,10.1,76.0,8.0,173.17
4.2625,7.7725,2.94,30.0525,58.0675,9.33499999999999,13.655,11.4975,22.6375,20.5625,2021-01-03 06:00:00,0.0,10.2,75.0,9.0,180.78249999999997
5.895,8.5925,3.5975,35.9125,66.4475,9.33499999999999,16.4775,13.725,22.6375,21.4775,2021-01-03 07:00:00,0.0,9.6,76.0,10.0,204.09749999999997
5.49,10.0275,4.59,41.01,82.3525,9.33499999999999,22.6575,18.3625,22.6375,23.97,2021-01-03 08:00:00,0.0,9.2,78.0,9.0,240.43249999999998
7.555,11.5375,5.7525,51.4275,102.3025,9.33499999999999,30.36,23.86,22.6375,27.055,2021-01-03 09:00:00,0.0,10.0,72.0,12.0,291.8225
8.1375,11.7775,6.325,47.45,109.06,9.33499999999999,34.995,26.615,22.6375,26.905,2021-01-03 10:00:00,0.0,10.3,71.0,9.0,303.23749999999995
7.7925,11.45,6.3575,48.415,106.1725,9.33499999999999,33.1325,25.215,22.6375,26.915,2021-01-03 11:00:00,0.0,10.7,68.0,9.0,297.4225
6.8775,11.755,6.0825,48.705,103.925,9.33499999999999,30.955,24.7325,22.6375,27.24,2021-01-03 12:00:00,0.0,11.1,68.0,9.0,292.245
7.4275,11.14,5.375,49.68,98.9,9.33499999999999,28.52,23.5575,22.6375,25.905,2021-01-03 13:00:00,0.0,12.1,65.0,5.0,282.47749999999996
7.09,9.9425,5.3675,44.3825,91.47,9.33499999999999,26.1925,21.3,22.6375,24.63,2021-01-03 14:00:00,0.0,11.5,71.0,8.0,262.34749999999997
6.51,9.8375,4.7275,40.7025,85.015,9.33499999999999,24.7575,20.1125,22.6375,22.57,2021-01-03 15:00:00,0.0,11.3,73.0,9.0,246.20499999999998
5.91,9.5175,4.605,38.91,82.99,9.33499999999999,23.45,19.58,22.6375,23.0675,2021-01-03 16:00:00,0.1,10.4,75.0,12.0,240.00249999999994
6.68,9.77,5.0425,38.7725,84.27,9.33499999999999,23.765,19.34,22.6375,23.825,2021-01-03 17:00:00,0.0,9.9,74.0,16.0,243.43749999999997
6.8,9.9675,4.975,39.23,86.6875,9.33499999999999,24.1225,20.15,22.6375,23.0425,2021-01-03 18:00:00,0.0,9.5,81.0,11.0,246.94749999999996
7.265,10.1525,4.7025,36.6025,88.7075,9.33499999999999,25.0725,19.2975,22.6375,23.745,2021-01-03 19:00:00,0.0,9.3,74.0,10.0,247.51749999999998
7.33,10.155,4.905,42.1025,89.56,9.33499999999999,26.0525,19.785,22.6375,24.42,2021-01-03 20:00:00,0.0,9.3,73.0,9.0,256.28249999999997
6.4925,9.305,4.5275,38.915,81.3025,9.33499999999999,23.255,17.4725,22.6375,22.05,2021-01-03 21:00:00,0.0,8.9,73.0,6.0,235.29249999999996
6.0375,9.285,3.7775,35.0375,74.5075,9.33499999999999,20.0375,17.06,22.6375,22.25,2021-01-03 22:00:00,0.0,8.6,76.0,7.0,219.96499999999995
4.715,8.515,3.45,32.9875,69.7425,9.33499999999999,18.9675,14.6225,22.6375,20.7175,2021-01-03 23:00:00,0.0,8.0,74.0,6.0,205.68999999999997
3.955,7.9925,3.3925,27.1175,62.7125,9.33499999999999,15.9775,13.575,22.6375,20.1125,2021-01-04 00:00:00,0.0,7.9,71.0,14.0,186.80749999999998
2.9225,7.7725,3.0175,23.835,57.6225,9.33499999999999,13.32,11.3125,22.6375,19.5775,2021-01-04 01:00:00,0.0,8.1,70.0,15.0,171.35249999999996
3.175,7.7025,2.82,24.4175,55.0375,9.33499999999999,11.92,10.31,22.6375,18.36,2021-01-04 02:00:00,0.0,7.9,71.0,12.0,165.71499999999997
3.6325,7.6725,2.725,25.8175,53.9825,9.33499999999999,11.9425,10.6725,22.6375,18.6875,2021-01-04 03:00:00,0.0,7.9,71.0,19.0,167.105
3.17,7.66,2.7875,28.54,54.5375,9.33499999999999,11.9925,10.66,22.6375,19.725,2021-01-04 04:00:00,0.0,8.2,70.0,19.0,171.04499999999996
4.0375,7.8875,2.9575,29.8675,56.6375,9.33499999999999,12.89,11.4275,22.6375,20.045,2021-01-04 05:00:00,0.0,8.4,69.0,13.0,177.72249999999997
5.3025,8.77,3.595,34.3575,65.9625,9.33499999999999,16.11,14.06,22.6375,22.595,2021-01-04 06:00:00,0.0,8.2,71.0,8.0,202.725
7.455,9.565,4.605,38.1925,83.2025,9.33499999999999,22.0075,19.865,22.6375,25.165,2021-01-04 07:00:00,0.0,8.2,71.0,9.0,242.02999999999997
10.2,10.2125,4.9225,42.3475,96.01,9.33499999999999,28.0025,23.78,22.6375,27.395,2021-01-04 08:00:00,0.0,8.3,72.0,6.0,274.8425
10.44,10.115,4.915,42.8625,97.6675,9.33499999999999,29.3,25.315,22.6375,28.5625,2021-01-04 09:00:00,0.0,7.9,75.0,7.0,281.15
11.2325,10.345,5.1725,39.645,94.78,9.33499999999999,26.4675,25.0175,22.6375,28.0075,2021-01-04 10:00:00,0.1,7.0,80.0,8.0,272.64
10.0325,9.8675,4.6275,37.105,92.0175,9.33499999999999,24.685,24.125,22.6375,28.05,2021-01-04 11:00:00,0.3,6.7,79.0,12.0,262.48249999999996
8.53,9.8525,4.87,42.3850000000001,89.4775,9.33499999999999,24.155,23.3475,22.6375,29.1325,2021-01-04 12:00:00,0.0,7.7,78.0,11.0,263.7225000000001
8.8575,9.935,4.5975,43.75,91.2075,9.33499999999999,25.8775,24.0175,22.6375,24.6225,2021-01-04 13:00:00,0.0,7.9,76.0,9.0,264.8375
8.455,9.5775,4.855,38.77,87.6675,9.33499999999999,24.91,21.4225,22.6375,27.7325,2021-01-04 14:00:00,0.0,8.2,76.0,9.0,255.36249999999995
8.125,9.4875,4.1925,36.0975,83.48,9.33499999999999,22.675,19.3175,22.6375,25.29,2021-01-04 15:00:00,0.0,8.7,74.0,9.0,240.63749999999996
6.135,9.225,4.2,34.8125,80.79,9.33499999999999,21.035,18.7275,22.6375,26.1725,2021-01-04 16:00:00,0.0,8.9,73.0,3.0,233.07
6.675,9.415,4.4175,35.015,80.6375,9.33499999999999,22.16,19.865,22.6375,25.4875,2021-01-04 17:00:00,0.0,9.1,75.0,4.0,235.64499999999998
5.8,9.3875,4.61,38.79,83.89,9.33499999999999,22.695,20.7125,22.6375,24.805,2021-01-04 18:00:00,0.0,8.7,77.0,6.0,242.66249999999997
7.5025,9.995,4.8275,43.34,89.085,9.33499999999999,25.1925,20.93,22.6375,26.8725,2021-01-04 19:00:00,0.0,8.2,78.0,7.0,259.7175
7.43,9.93,4.695,43.88,90.585,9.33499999999999,26.255,20.45,22.6375,24.855,2021-01-04 20:00:00,0.0,8.5,76.0,6.0,260.05249999999995
6.6325,9.345,4.5625,38.5475,82.44,9.33499999999999,22.6825,17.74,22.6375,25.645,2021-01-04 21:00:00,0.0,8.1,75.0,7.0,239.5675
5.9775,8.7675,3.8825,37.5525,74.4225,9.33499999999999,19.0125,16.5425,22.6375,22.1925,2021-01-04 22:00:00,0.0,8.1,73.0,6.0,220.32249999999996
5.17,8.4975,3.6125,29.3275,69.495,9.33499999999999,17.6925,14.26,22.6375,21.64,2021-01-04 23:00:00,0.0,7.8,74.0,6.0,201.66749999999996
4.575,8.065,3.25,27.1975,62.75,9.33499999999999,15.81,13.7025,22.6375,20.755,2021-01-05 00:00:00,0.0,7.9,71.0,6.0,188.0775
4.4425,7.7325,2.8,26.3175,57.29,9.33499999999999,13.2425,11.6725,22.6375,19.1275,2021-01-05 01:00:00,0.0,7.9,72.0,4.0,174.59749999999997
10.435,7.74,2.63,27.9425,55.29,9.33499999999999,12.2525,10.2775,22.6375,18.985,2021-01-05 02:00:00,0.0,7.5,73.0,5.0,177.52499999999998
4.97,7.92,2.6625,29.29,54.2,9.33499999999999,12.255,10.5125,22.6375,19.0,2021-01-05 03:00:00,0.0,7.9,72.0,7.0,172.78249999999997
4.22,7.825,2.635,30.6375,54.05,9.33499999999999,12.31,10.66,22.6375,19.9825,2021-01-05 04:00:00,0.0,7.4,74.0,7.0,174.29249999999996
4.785,8.025,2.835,29.4225,56.0525,9.33499999999999,12.825,10.925,22.6375,20.7325,2021-01-05 05:00:00,0.0,7.2,75.0,6.0,177.575
5.6675,8.535,3.3375,33.4225,64.6225,9.33499999999999,15.2875,13.01,22.6375,21.845,2021-01-05 06:00:00,0.0,7.3,75.0,8.0,197.7
6.5325,9.7575,4.2525,35.605,80.205,9.33499999999999,21.1475,18.1125,22.6375,24.5,2021-01-05 07:00:00,0.0,7.2,74.0,10.0,232.08499999999998
9.285,10.3,4.89,37.995,92.565,9.33499999999999,24.835,23.535,22.6375,27.9725,2021-01-05 08:00:00,0.0,7.0,75.0,6.0,263.34999999999997
8.855,10.31,5.05,44.2725,96.9575,9.33499999999999,27.515,23.6675,22.6375,28.7025,2021-01-05 09:00:00,0.0,8.0,72.0,4.0,277.30249999999995
8.51875,10.73,4.8775,46.4725,96.265,9.33499999999999,28.1275,25.4525,22.6375,29.2525,2021-01-05 10:00:00,0.0,8.6,69.0,4.0,281.66874999999993
8.1825,10.7475,4.9775,47.4975,93.225,9.33499999999999,26.265,23.8525,22.6375,30.015,2021-01-05 11:00:00,0.0,8.8,67.0,7.0,276.73499999999996
8.1275,10.295,5.0225,42.7975,92.23,9.33499999999999,25.225,24.395,22.6375,27.9025,2021-01-05 12:00:00,0.0,9.0,67.0,7.0,267.9675
8.2725,9.73,4.73,44.4075,91.285,9.33499999999999,25.9175,23.1175,22.6375,25.995,2021-01-05 13:00:00,0.0,9.3,68.0,8.0,265.42749999999995
8.9025,9.6125,4.43,39.5125,86.2225,9.33499999999999,25.3425,21.4425,22.6375,28.5525,2021-01-05 14:00:00,0.0,9.6,68.0,7.0,255.98999999999998
8.72,9.7175,4.4075,35.165,81.8225,9.33499999999999,22.37,20.2325,22.6375,25.6675,2021-01-05 15:00:00,0.0,9.8,65.0,8.0,240.07499999999996
7.9775,9.17,4.315,34.82,81.5225,9.33499999999999,21.8575,20.53,22.6375,25.5275,2021-01-05 16:00:00,0.4,8.7,72.0,12.0,237.6925
7.165,9.6275,4.51,40.7875,80.8225,9.33499999999999,22.58,20.705,22.6375,24.495,2021-01-05 17:00:00,0.8,7.5,76.0,10.0,242.66499999999996
6.6275,9.67,4.6275,41.3525,84.6975,9.33499999999999,22.56,20.5775,22.6375,24.6325,2021-01-05 18:00:00,0.3,7.2,76.0,14.0,246.71749999999997
7.3625,10.085,4.6575,42.2575,88.7025,9.33499999999999,23.6925,20.2425,22.6375,25.265,2021-01-05 19:00:00,0.1,7.3,76.0,16.0,254.23749999999995
6.9025,9.7825,4.6375,45.03,88.76,9.33499999999999,26.4075,20.075,22.6375,24.4275,2021-01-05 20:00:00,0.1,7.1,75.0,24.0,257.99499999999995
5.8525,9.2075,4.245,37.09,81.815,9.33499999999999,23.4475,17.98,22.6375,25.645,2021-01-05 21:00:00,0.0,7.2,74.0,20.0,237.25499999999997
4.765,8.9625,3.5825,29.125,73.68,9.33499999999999,19.085,15.8575,22.6375,21.285,2021-01-05 22:00:00,0.0,7.1,75.0,23.0,208.31499999999997
3.91,8.3825,3.72,29.35,70.32,9.33499999999999,18.35,15.295,22.6375,20.935,2021-01-05 23:00:00,0.0,7.0,74.0,22.0,202.23499999999996
3.52,8.1575,3.0875,30.735,63.8725,9.33499999999999,15.5475,12.9125,22.6375,20.2825,2021-01-06 00:00:00,0.0,7.2,75.0,15.0,190.08749999999998
2.7575,7.8025,2.8275,29.0525,57.43,9.33499999999999,12.5075,11.3425,22.6375,18.705,2021-01-06 01:00:00,0.0,7.2,76.0,15.0,174.39749999999998
3.8775,7.745,2.67,29.4325,55.325,9.33499999999999,11.1075,10.505,22.6375,21.3925,2021-01-06 02:00:00,0.6,7.2,77.0,14.0,174.02749999999997
4.78,7.7375,2.6025,29.51,54.31,9.33499999999999,10.115,10.66,22.6375,19.7925,2021-01-06 03:00:00,0.0,7.5,75.0,13.0,171.47999999999996
4.635,7.7725,2.65,27.5925,54.22,9.33499999999999,10.1975,10.4025,22.6375,18.4125,2021-01-06 04:00:00,0.0,7.5,75.0,15.0,167.855
4.385,7.7425,2.8675,24.35,55.1175,9.33499999999999,10.28,10.705,22.6375,18.255,2021-01-06 05:00:00,0.0,7.2,76.0,13.0,165.67499999999998
4.8925,7.9325,2.9275,25.4475,58.2875,9.33499999999999,13.52,11.9575,22.6375,20.835,2021-01-06 06:00:00,0.2,7.2,80.0,12.0,177.7725
6.08,8.8,3.44,31.8975,67.625,9.33499999999999,16.2975,13.7,22.6375,21.8675,2021-01-06 07:00:00,0.0,6.9,80.0,11.0,201.67999999999998
8.5475,9.8325,4.605,40.32,85.115,9.33499999999999,22.2025,19.065,22.6375,23.6075,2021-01-06 08:00:00,0.0,7.0,80.0,12.0,245.26749999999998
8.48,11.0425,5.5725,49.4175,102.325,9.33499999999999,28.7575,24.425,22.6375,25.2475,2021-01-06 09:00:00,0.0,7.0,80.0,15.0,287.23999999999995
7.9475,11.39,6.0525,49.61,106.99,9.33499999999999,30.6375,25.905,22.6375,24.94,2021-01-06 10:00:00,0.0,7.7,79.0,15.0,295.445
8.0625,11.135,5.91,51.28,103.47,9.33499999999999,31.2875,24.46,22.6375,24.5375,2021-01-06 11:00:00,0.0,7.7,80.0,14.0,292.115
6.725,10.56,5.545,47.1575,99.705,9.33499999999999,30.34,24.325,22.6375,25.1975,2021-01-06 12:00:00,0.0,8.3,79.0,12.0,281.5275
6.7775,10.435,5.4525,41.005,97.415,9.33499999999999,27.875,22.5125,22.6375,25.76,2021-01-06 13:00:00,0.0,8.7,71.0,22.0,269.205
6.135,9.8975,4.9325,40.625,91.11,9.33499999999999,25.0625,21.335,22.6375,23.1425,2021-01-06 14:00:00,0.0,8.7,75.0,17.0,254.21249999999998
6.05,9.5725,4.57,40.0675,85.365,9.33499999999999,22.3725,19.8675,22.6375,23.1925,2021-01-06 15:00:00,0.0,7.8,79.0,26.0,243.02999999999997
5.91,9.2025,4.465,39.4075,82.7675,9.33499999999999,22.69,20.2275,22.6375,22.52,2021-01-06 16:00:00,0.2,6.9,78.0,24.0,239.16249999999997
5.715,9.6075,4.805,40.645,85.4475,9.33499999999999,24.5925,20.5,22.6375,23.9775,2021-01-06 17:00:00,0.0,6.9,81.0,9.0,247.26249999999996
6.2325,9.7525,4.815,40.70625,89.0425,9.33499999999999,26.4275,21.9825,22.6375,23.66,2021-01-06 18:00:00,0.1,6.7,83.0,10.0,254.59124999999997
6.7675,10.29,4.7775,40.7675,89.7575,9.33499999999999,26.375,21.8025,22.6375,24.5225,2021-01-06 19:00:00,1.8,5.8,84.0,6.0,257.03249999999997
6.6025,10.2225,4.8225,41.2925,92.615,9.33499999999999,26.4825,21.3275,22.6375,23.5575,2021-01-06 20:00:00,0.0,6.0,83.0,10.0,258.895
5.5,9.5025,4.4425,36.92,82.5625,9.33499999999999,24.4225,18.6325,22.6375,22.6975,2021-01-06 21:00:00,0.0,6.3,84.0,9.0,236.65249999999997
4.6375,8.79,3.8925,32.43,74.5875,9.33499999999999,20.045,17.7875,22.6375,20.82,2021-01-06 22:00:00,0.0,6.3,84.0,9.0,214.96249999999995
4.1275,8.855,3.56,31.8025,69.6625,9.33499999999999,19.6825,15.69,22.6375,22.3475,2021-01-06 23:00:00,0.0,6.1,84.0,8.0,207.69999999999996
4.1625,8.17,3.145,31.38,62.47,9.33499999999999,15.5725,13.21,22.6375,20.6575,2021-01-07 00:00:00,0.0,5.9,82.0,10.0,190.73999999999998
4.0075,7.8175,2.76,29.6175,56.74,9.33499999999999,13.01,11.16,22.6375,19.8525,2021-01-07 01:00:00,0.0,6.2,84.0,8.0,176.93749999999997
4.5775,7.6575,2.69,29.3225,55.6825,9.33499999999999,12.065,11.0025,22.6375,20.085,2021-01-07 02:00:00,0.0,5.7,85.0,12.0,175.055
4.115,7.8575,2.6625,28.6575,54.205,9.33499999999999,12.0975,10.2725,22.6375,20.4275,2021-01-07 03:00:00,0.0,5.5,86.0,12.0,172.26749999999998
3.945,7.87,2.7725,28.06,55.0175,9.33499999999999,11.6525,10.7375,22.6375,20.3025,2021-01-07 04:00:00,0.0,5.9,83.0,8.0,172.32999999999998
3.1175,8.25,3.065,29.0675,57.045,9.33499999999999,12.8925,11.7275,22.6375,21.0425,2021-01-07 05:00:00,0.0,6.2,83.0,7.0,178.17999999999998
4.655,9.3125,3.975,35.575,70.3925,9.33499999999999,18.0325,15.405,22.6375,24.285,2021-01-07 06:00:00,0.0,6.0,82.0,10.0,213.60499999999996
7.4675,10.565,4.8275,40.095,93.6375,9.33499999999999,25.9375,22.885,22.6375,28.25,2021-01-07 07:00:00,0.0,6.3,79.0,10.0,265.63749999999993
8.43,10.6275,4.9725,41.4075,97.8525,9.33499999999999,27.4425,24.7675,22.6375,30.1375,2021-01-07 08:00:00,0.0,6.6,79.0,8.0,277.60999999999996
8.465,10.5375,4.8925,44.0225,96.785,9.33499999999999,26.240000000000002,26.23,22.6375,29.8975,2021-01-07 09:00:00,0.0,6.8,77.0,7.0,279.04249999999996
7.575,9.985,4.5525,41.2975,91.0175,9.33499999999999,25.0375,25.465,22.6375,29.185,2021-01-07 10:00:00,0.0,6.9,77.0,10.0,266.0875
7.765,9.4125,4.7425,38.04,88.025,9.33499999999999,23.0175,23.9575,22.6375,30.6575,2021-01-07 11:00:00,1.4,6.6,83.0,5.0,257.59
8.715,9.26,4.4225,42.14,86.5875,9.33499999999999,24.49,24.36,22.6375,30.5425,2021-01-07 12:00:00,0.0,7.5,77.0,7.0,262.49
9.045,9.24,4.425,42.6575,87.9225,9.33499999999999,24.38,24.7125,22.6375,30.53,2021-01-07 13:00:00,0.0,8.4,73.0,4.0,264.885
9.6875,9.385,4.4675,39.895,84.96,9.33499999999999,23.665,22.5025,22.6375,30.18,2021-01-07 14:00:00,0.0,7.9,75.0,8.0,256.7149999999999
9.465,9.4325,4.2325,36.01,81.8475,9.33499999999999,21.8425,20.7925,22.6375,26.79,2021-01-07 15:00:00,0.0,8.1,72.0,8.0,242.38499999999996
7.6925,9.765,3.8675,36.1175,78.075,9.33499999999999,20.7175,20.5875,22.6375,27.515,2021-01-07 16:00:00,0.0,7.8,83.0,8.0,236.30999999999995
